doc#133499	Tell me, is it good karma that the < computer died > after the semester was over? 
doc#6151952	A few hours after getting yesterday’s update done, my < computer died >. 
doc#6270656	The Vaughn – As Chris will tell you, the operating system on my < computer died > – I just hope most of my database can be saved. 
doc#6301988	About two months ago, the Server < computer died > of old age. 
doc#6350477	And immediately after the episode, Sandy’s < computer died >.. no warning. 
doc#6405845	Nothing ruins that post-vacation bliss like discovering your < computer died >–taking all of your files with it–while you were away. 
doc#6514807	Well, my < computer died >. 
doc#6603339	My friends < computer died > on Friday, so she is painting. 
doc#6693019	Then we went on a trip, my < computer died >, I came back from the trip and I was swamped trying to get my business back and running and restructuring some of my ebay listings to multi-variations (it’s like redoing your listings all over again, sort of like when I created my zen-cart store last fall)…doctor’s appointments, vet appointments, ophthalmologist appointments, too much. 
doc#6705707	Two days later my < computer died > and I can’t even begin to think about what my life, business, and psyche would be like if I hadn’t signed up with RDB. 
doc#6891142	“Everything looked so great watching the program on TV, but every time one of the < computers died >, there would be a half-hour wait and it would drive me crazy.” 
doc#6965350	Not only did red flags, literally, go up all over my computer but then the next day my < computer died > and my bank card number was stolen. 
doc#7149435	After her first < computer died >, Lorraine discovered she had a knack at fixing computers, and so she set about finding old ones, refurbishing them, and then gifting them to children and families who couldn’t afford to buy them—many of these recipients were the people with whom she was working at Child Welfare. 
doc#7161806	I did have a shareware library program that served me well for about ten years but when the < computer died >, it took that program with it. 
doc#7203916	Apparently I’ve become too accustomed to using camera phones since the < computer died >. 
