doc#1205112	"I feel like I'm getting really heavy too," and with that the < chair gave way >. 
doc#18227349	The latter would relieve the pressure and let the < dam give way > slowly, thus reducing the destructive force of the water. 
doc#18339420	During this project, a < dam gave way > causing significant damage to the Federal camps and forcing the project to be scrapped. 
doc#18831644	Two of the arches of Bridgnorth < bridge gave way >, and Bewdley bridge was damaged beyond repair. 
doc#19688079	The gap in the wall in the background is where the Llyn Eigiau < dam gave way > on 2nd November 1925. 
doc#19870833	The storm came up quickly and the sea was very wild and as we were battling to control the ship the oil lines from the bridge to the engine room lost pressure and the hydraulic steering on the < bridge gave way >. 
doc#20101128	Then the fucking < table gave way >. 
doc#21037450	When the villagers chase after the < bridge gives way >, causing them all to fall. 
doc#21209114	The < bridge gave way > at approximately 8:00 am this morning from the current of the Aguán river. 
doc#21595797	He could not say whether one of the trestles on the < bridge gave way > or if a piece of equipment was at fault. 
doc#21777442	translate into ‘old bridge’. as in built in the 14th century older than the first disease carrying footsteps in north america kind of old. the morgan bridge is a gonad cell in your daddy’s testie purse compared to the ponte vecchio in terms of age. please do not say things like it can only carry 50 people on it or it needs to be fixed up. thats just smoke and mirrors. you have more chance of losing your walmart enslaved lives to that volcano up the road exploding than the morgan < bridge giving way >. litter? there is so much litter everywhere else that this will then make things blend more. besides, you all love the grittiness and can always call the le may people when sht gets out of hand to manage the litter because they are going to need the extra money to keep the meal worm open anyway. 
doc#21883193	In 1849, the little < bridge gave way > when a wagon overfilled with wheat attempted to cross the river. 
