doc#7393	Traffic control devices are added where intersecting  streets   <meet > the collector road. 
doc#496179	Finally you solder the places where the lead came  lines   <meet >, and once cooled, cement the joints. 
doc#512424	When securing, twist the ring back to its initial > condition, so that the two orange  lines   <meet >. 
doc#512890	Thus, by defining a pointcut, advice can be attached to multiple join  points  that < meet > at the bottom. 
doc#524041	Somewhere, all  roads  would < meet >."How long have you been married?" 
doc#527913	The two  lines  should < meet > at the outer corner of each eye. 
doc#540644	We hop aboard the Wing and head down Foley Beach Expressway till the  road   <meets > the water. 
doc#542445	Having just left Laxey (which is the lower terminus and where the  line   <meets > the Manx Electric Railway) a Snaefell Mountain Railway train begins the ascent towards the summit. 
doc#563159	It shoots straight out along Cedar, crosses the Minnesota river on a new bridge and < meets >  highway  13. 
doc#568503	Do two parallel  lines   <meet > and get to touch in infinity? 
doc#629216	The triangle shape marked by the black lines will apex (the two  lines   <meet >) within the next couple of days, that often marks the end of a move. 
doc#632268	This  road   <meets > back up with Mex 15 near Km 167 just north of Navajoa. 
doc#632268	083.8 Miles ( 135.2 Km) -- At a big waterfall circle in the middle of the  road  hat < met > up again with Highway 15. 
doc#638650	This is my house The car bottomed out where the driveway < meets > the  road  The car pulls to the right Our house passed under his official control this oem software. 
doc#672610	At the point where the path < met > the  road  , was one of the most awkward squeeze stiles I have ever encountered, and I have come across quite a few. 
doc#692414	At Steeles, the  line  would < meet > the Transit City Don Mills line . A great benefit with this is that interlining operation would permit runs further south to either the Don Mills Subway station or possibly further south. 
doc#708096	There are a number of different types of intersections, depending on how many  roads   <meet > at the intersection. 
