doc#147	For a few minutes he could hear the shouts of the men, but they soon afterwards < died >   away   . 
doc#141797	But maybe for the first time a quality product will be able to SURVIVE and not < die >   off   the way many have in the past (think ATARI computers). 
doc#162006	Radio hasn’t < died >   off   . 
doc#187120	The tourist trade is < dying >   off   slowly and Yarmouth is too stubborn to admit it. 
doc#1653	The Indian slave trade < died >   out   by the early eighteenth century, as chattel slavery became more and more an exclusively African experience. 
doc#2163	I can’t help wondering if it’s just a fad and will < die >   out   soon.” 
doc#4887	On a more administrative note, Debian's votes on a couple of proposed amendments to the Debian constitution dealing with how to handle "non-free" software have expired . Apparently, discussion raged for a few weeks, then < died >   out   without the vote being moved forward. 
doc#7633	And they project the impression that these brush fires would < die >   out   on their own, but for the hysterical bystanders—conservatives, of course—who shriek at the first wisp of smoke. 
doc#12736	I am asking everyone to give some thoughts and advice back on something really important for me and for many others…why is it so quiet in here…I hope this post doesn’t < die >   out   …Brett did a great start, and Matt chimed in…..I’m all ears for you. 
doc#13212	Even though DVD sales have levelled off , it doesn’t look like the format is in any danger of < dying >   out   too soon. 
doc#13843	This has long since < died >   out   of colloquial English but used to be very widespread and survived for many decades. 
doc#14097	Where did this hideous word come from, and why is preferred over the established “forthcoming”?Is it a word like “hassle” (originally a black American word meaning a drug bust) which will gradually < die >   out   ? 
doc#14646	The evidence for these dormice in Britain is unfortunately very slender, and even in the other provinces the taste for them < died >   out   at the end of the Roman empire and was never later recovered." --- Food and Drink in Britain From the Stone Age to the 19th Century , C. Anne Wilson [Academy Chicago:Chicago] 1991 (p. 72) 
doc#18017	The scenes reminded me of the shoddy way men tried to con themselves into thinking they were manly (capable, authoritative, adult) by pretending that women were tit carriers with boop-a-doop brains. (I use the past tense, "tried," because at that point the dodge had yet to be challenged and therefore was more widespread; I don't mean that it has < died >   out   .) 
doc#18888	We intend to give, in the following pages, the treasures that were thus rescued from oblivion, and to interweave with them many scraps of information which are rapidly < dying >   out   and being forgotten. 
doc#28397	Laughter < died >   out   , dancing ceased, and in a short while carriage-loads of people were hurried from the redoute to the Hotel Dieu to die, and to prevent a panic among the patients, were thrust into rude graves in their dominoes. 
doc#30151	The August riots have < died >   out   and the streets have returned to calm. 
doc#33468	But, although he eagerly desired to see Jerusalem, he denied himself this pleasure, from a fear that the crusading spirit might < die >   out   if the first of Christian kings should consent to visit the holy city without delivering it from the unbelievers. 
doc#37096	And shifting demographics suggest that the Republican Party -- and conservatism with it -- eventually will < die >   out   unless religion is returned to the privacy of one's heart where it belongs." 
doc#44518	Long after Arianism had < died >   out   elsewhere, it was the religion of the Goths and Vandals and related peoples, and being an Arian was the mark of a good Army man. 
doc#45361	Alan Cox wrote to ESR: Maybe it is time the term "open source" also did the decent thing and < died >   out   ... 
doc#47339	You taste yourself, the urge To propagate < dies >   out   . 
doc#47555	That single handclap tells you immediately how intense the reverberation is and how long it takes to < dies >   out   , and whether the room sounds “good.” 
doc#47555	Basically, they use multiple delays and feedback to built up a dense series of echoes that < dies >   out   over time. 
doc#48767	The dance was originally performed by miners at one of Boosbeck's seven ironstone mines but the tradition < died >   out   in the 1960's. 
doc#49579	Yes, I was controlled by fear…others are controlled by fear…thats why it is hard to see…all the teachings sound “right and true and biblical”…but it gets twisted into something else…there is a reason the “Puritan” movement “ <died >   out   ”….legalism and fear kill you spirit and joy of the gospel. 
doc#49728	Subsequently, however, the breed lost favor and nearly < died >   out   in England, as well. 
doc#51489	Lady Maisery break new ground as one of the first UK groups to explore the tradition of diddling or tune singing, which has nearly < died >   out   in England, but is still prevalent in Scandinavia and other parts of Europe. 
doc#58269	Of course, you will still find multi-level games, which will never < die >   out   as long as one set of gamers exists that remembers the joys of PacMan and Donkey Kong. 
doc#58290	He put together a band of jobless musicians who played a new type of music which soon came to be known around the training camp as jazz . The bandleader, Art Hickman, took the music, and its new name, to New York, but apparently the style < died >   out   rather quickly. 
doc#64066	Though they said some of them are quite expensive and the LCD screen < dies >   out   quickly. 
doc#67102	Some children are still learning Cheyenne as a native language, but due to the small number of speakers there is fear that the language may < die >   out   if effort is not put into revitalizing it. 
doc#76332	There are records of May Queens being crowned in the 1880s, but the event seems to have < died >   out   by the early 1900s. After the First World War, she, aided by her sister Elizabeth, set about reviving the ancient custom of celebrating May Day in Fernhurst, based on authentic records. 
doc#78388	If you are in the least bit interested in fitness and exercise (and it helps if you’re a geek or nerd like me), do yourself a favor and head over to Fitocracy.com . It’s my newest “thing,” and I don’t see my obsession < dying >   out   anytime soon. 
doc#81001	Plus C++ is such an ugly language that its hard to imagine that it won’t < die >   out   over the next decade, replaced by C#/Objective C/Java etc. C, on the other hand, has virtues of simplicity, clarity, portability, and performance that other programming languages have yet to supplant. 
doc#84928	So I reached out for my glass too and added water on top of her water and eventually the fire < died >   out   . 
doc#85253	It allowed us to continue discussions that would have otherwise < died >   out   when the bell rang, and helped us reach a deeper level of understanding of the finer details of the stories and books we read. 
doc#87740	In this ecumenical age such mainstream Protestant bigotry is < dying >   out   . 
doc#87740	It is also < dying >   out   because more and more Evangelical Christians are coming to realise that the ‘old old story’ of God’s love for a dying world and the saving work of Christ on the cross is now most fully and vigorously told by the modern Catholic Church. 
doc#87740	The old-fashioned Protestant anti-Catholicism is < dying >   out   , but in its place a new and equally virulent form of anti-Catholicism is rising up. 
