doc#154641	That would < put > the  cost    at  $250. 
doc#11687136	Update 08/24/2001: A report in Nature < puts > the  number    at  42,000 but admits it could go higher than 50,000. 
doc#12140008	Among those featured was the Central Locomotive & Car Works at Chicago Heights. { 171 } A similar article in another newspaper indicated 2,000 men were back at work at Central and one in yet another newspaper < put > the  number    at  4,000, said to be working two shifts. { 172 } 
doc#12221598	It is not known how many Gypsies and Travellers there are in Britain, but estimates < put > the  number    at  around 300,000. 
doc#12428690	However, Internet World Stats puts the number of Internet subscribers in India at 42 million in 2007, while a December 3, 2007 IAMAI release has < put > the  number    at  46 million. 
doc#12949109	Talking crank horsepower, which is what car makers quote, these  figures  would < put > it  at  official figures of about 329 hp and 331 lb-ft of torque. 
doc#13014981	A 2003 study published in The Journal of the American Medical Association < put > the  cost  of pain  at  $61.2 billion per year. 
doc#13085868	The government calculates a death toll of 15,000 people but activists < put > the  figure    at  23,000 or more. 
doc#13131776	Some national  numbers   <put > turnover among CNAs  at  70 percent annually. 
doc#13363732	In the wild across Africa, recent estimates have < put > the  number  of giraffes  at  about 100,000 or slightly less. 
doc#13408237	In monetary terms, estimates of the disposal  cost  have been < put >  at  billions, not millions of dollars. 
doc#13485570	Some additional investment is required, but credible analysis < puts > the  cost    at  one-sixth of Mr Gibson's inflated claims even with wind providing two-thirds of our power." 
doc#13528839	The initial official account listed 27 dead and 100 missing. 5 The majority of sources state the final death toll as 163 men, with a further 396 wounded. 2 3 6 In an account published in Sea Classics magazine in 2005 however, the  total  dead is < put >  at  392, of which 163 were sailors, the remainder being Marines-part of the Department of the Navy-from the newly formed 2nd and 4th Marine Divisions, with records of Army dead having not been recorded in the confusion. 1 Pearl Harbor attack survivor and historical researcher Ray Emory also disputes the death toll, stating that 132 men died at West Loch. 6 
doc#13974823	That is just what you will probably be gambling on while you're involved in this type of financial trading . In spread trading, what the speculator may make or get rid of will depend on how appropriate or wrong their particular estimations on prices associated with certain everything are, and also on the  cost  that they < put >  at  risk per point. 
doc#14193583	But activists contradicted the official version saying security forces Wednesday fired a rocket at the building, killing dozens of people, even as some  counts   <put > the death toll  at  70. 
doc#14355311	He < put > the  odds    at  a million to one. 
doc#14380704	He pointed out that while SOCAR gave its revenues in 2006 from oil extracted within the framework of production-sharing agreements as 924.4 million manats ($1.156 billion), the State Oil Fund < put > the  figure    at  929.9 million and the Council of Ministers at 933.7 million. 
doc#14494703	IDC predicts smartphone sales will rise to 982 million in 2015 and IMS Research < puts > that  number    at  1 billion by 2016. 
doc#14674035	Bankruptcy lawyer raleigh, nc government  figures   <put > unemployment  at  eight percent, refinancing high interest credit card debt by borrowing against equity in your payable to you, for violations of several state and federal laws. 
doc#14685990	Until now, the government had < put > the  number  of dead  at  10, although diplomats have estimated the toll could be much higher. 
doc#15101548	June demand was revised down 2.8% from preliminary data, which < put > the  figure    at  9.335 million barrels a day, the strongest in any month since August 2007, but the weakest in June since 2004. 
doc#15924574	Lehner estimated that the bill would impact about 200 abortions per year in Ohio, though Gonidakis < put > the  number    at  more than 600. 
doc#16464211	Legislative staff < put > the  cost    at  nearly $280,000 for expenses that included mileage, the daily per diem for attendance and extra staff. 
doc#16702804	Jones Lang LaSalle's estimate is 13,000-14,000 while DTZ's SE Asia research head Chua Chor Hoon < puts > the  number    at  13,000-15,000 units. 
doc#16784998	30% of participants estimated the impact of knowledge base operational challenges at somewhere between $100,000 to $1 million per year, including six percent who < put > the  cost    at  $1 to $5 million. 
doc#16869078	Cost estimates vary - Nobel Prize-winning economist Joseph Stiglitz < puts > the  total  cost  at  more than $2 trillion - but let's be conservative and say it's only $1 trillion (in today's dollars)." 02-07 
doc#17242145	General Monahan told the audience that it will cost between $50 and $60 billion to develop and deploy "Brilliant Pebbles," although others have < put > the  cost    at  $100 billion. 
doc#17244545	Police < put > the  number  of demonstrators  at  around 300,000. 
doc#17688845	California studies < put > the  figure    at  $7 return on each $1 invested in treatment. 
doc#18203040	Organizers said more than 3,000 motorists took part, while police < put > the  number    at  about 300. 
doc#18239980	However, you also have to factor in the cost of doctor fees and counseling services, which can < put > the  cost    at  around $400- 600 total. 
doc#18272602	I < put > the  odds  of that  at  slightly above zero (just like last time - see #1), and I predict that the US will spin the failure of those talks as yet another step on Iran's relentless pursuit of nuclear weapons (just like last time - see #1). 
doc#18384846	Ms Martin's position < put > her  at    odds  with members of her own extended family, and in a town of vociferous anti-gas sentiment it was widely speculated she could lose her seat over her stand. 
doc#18407189	--1.5 million Iraqis have fled their homes according to the Iraqi Red Crescent (a separate UNHCR estimate apart from Cockburn's article < puts > the  number    at  1.8 million Iraqis living in neighboring countries and another 1.6 million "internally displaced" within Iraq including those who left during the 1990s). 
doc#18604357	A security guard < put > the  number  of queuers  at  around 2,000. 
doc#18743268	Whether I or anyone agrees or not, some folk who claim to know what methods are used to determine unemployment < put > the  figure    at  between 17-18%. 
doc#19007101	The Committee to Protect Journalists had < put > the  figure    at  90 journalists and 37 media support workers killed in Iraq. (With reports from Iraq and BosNewsLife Monitoring). 
