doc#7052	Why do others become chiefs for a time, and then < fall by the wayside >? 
doc#165005	When I conveyed myself freely around some of my shyer acquaintances, I must have frightened them off, as they essentially < fell by the wayside > .My social life waned awhile . . . Then again something very interesting started to occur. 
doc#171484	The testing stages saw a lot of competitors < fall by the wayside > throughout the day, among them a number of local club entrants. 
doc#175044	I worry that the modern political journalist has little time to test these outcomes and do this research, and it often can < fall by the wayside >, buying the line of a politician who has an agenda to push (like Luke Foley or Anthony Albanese). 
doc#177080	I have to get back into Dead Island...seems everything < fell by the wayside > when Skyrim descended into my living room.. 
doc#178049	Some traditions are still part of the modern wedding, but others have < fallen by the wayside >. 
doc#178903	It’s also best to let the credit card account with the highest minimum payment < fall by the wayside >, so that your focus can then be on more manageable amounts. 
doc#181152	As a result, many qualified, potential registered nurses < fall by the wayside >. 
doc#182201	There are people that believe that multiplayer is the future and everything else will < fall by the wayside >. 
doc#15482	Harper said his government < fell > because the other parties rejected his budget, which indeed they did, but the government had been found in contempt of Parliament , and that led to the vote of non-confidence. 
doc#15482	The Conservatives are projected to take 36.4% of the vote and 143 seats, the same number of seats they had when the government < fell >. 
doc#30463	In Arab nations such as Egypt and Tunisia where the military refused to forcibly suppress protestors, the old authoritarian governments < fell >. 
doc#43903	And who can tell what would happen to Iran’s arsenal if its unpopular government < falls >, as it surely will one day? 
doc#48352	The powerful Church of Real Truth, in charge since the government < fell >, has sworn to reimburse citizens being harassed by the deceased. 
doc#108951	On June 10, 1940, Adolf Hitler's forces invaded France and the French government < fell >. 
doc#167358	When Grenville's government < fell > from power, the new prime minister, Marquis of Rockingham, moved quickly to resolve the issue. 
doc#175044	In 2006, the government < fell >, and Harper’s Conservatives formed a minority government in another hung parliament after gaining the largest number of seats. 
doc#187873	And if the Afghan government < falls > to the Taliban – or allows al Qaeda to go unchallenged – that country will again be a base for terrorists who want to kill as many of our people as they possibly can. 
doc#209559	Free votes for all, though the government < falls >: Smith 
doc#280305	Doesn't he have to calculate a real possibility that his government < falls > if he goes to war without the UNSC on board? 
doc#410211	Ongoing turmoil in Syria is increasingly engaging the Western commentariat in a not terribly nuanced discussion, focused around a series of predictable questions: Will the Assad government < fall >? 


